timestamp,play_id,game_status,play_call,posession_status_start,posession_status_end,yardline_start,yardline_end,down_start,down_end,yards_to_go_start,yards_to_go_end,home_score_start,away_score_start,home_score_end,away_score_end
2023-07-23_11-45-27.841275,0,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.292980,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.294124,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.295123,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.296121,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.299295,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.300322,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.301202,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.302945,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.303969,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.303969,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-45.304969,1,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.306613,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.307580,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.308578,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.309575,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.310572,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.311570,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.312567,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.313682,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.315077,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.316075,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-51.317073,2,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-57.816087,3,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
2023-07-23_11-45-57.817056,3,select play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play,first_play
